,Category,Year,Make,Model
240,Wagon,2010,Toyota,Matrix
241,Pickup,2010,Toyota,Tacoma Double Cab
242,Wagon,2010,Toyota,Venza
243,"Hatchback, Sedan",2011,Toyota,Yaris
244,Sedan,2010,Toyota,Avalon
245,Pickup,2010,Toyota,Tacoma Regular Cab
246,Pickup,2010,Toyota,Tundra CrewMax
247,SUV,2009,Toyota,4Runner
248,SUV,2010,Toyota,RAV4
249,SUV,2010,Toyota,Land Cruiser
250,SUV,2009,Toyota,Highlander
251,Pickup,2010,Toyota,Tundra Regular Cab
252,SUV,2009,Toyota,Sequoia
253,Wagon,2009,Toyota,Venza
254,Sedan,2009,Toyota,Avalon
255,Hatchback,2009,Toyota,Prius
256,Pickup,2009,Toyota,Tundra CrewMax
257,SUV,2008,Toyota,4Runner
258,"Sedan, Hatchback",2010,Toyota,Yaris
259,SUV,2009,Toyota,FJ Cruiser
260,Pickup,2009,Toyota,Tacoma Double Cab
261,Sedan,2009,Toyota,Camry
262,SUV,2009,Toyota,Land Cruiser
263,SUV,2009,Toyota,RAV4
264,Van/Minivan,2009,Toyota,Sienna
265,Sedan,2008,Toyota,Corolla
266,Hatchback,2008,Toyota,Prius
267,Pickup,2009,Toyota,Tacoma Regular Cab
268,Pickup,2009,Toyota,Tacoma Access Cab
269,Pickup,2008,Toyota,Tundra Regular Cab
270,Pickup,2009,Toyota,Tundra Regular Cab
271,Pickup,2008,Toyota,Tacoma Access Cab
272,Pickup,2009,Toyota,Tundra Double Cab
273,SUV,2008,Toyota,RAV4
274,"Hatchback, Sedan",2009,Toyota,Yaris
275,Wagon,2009,Toyota,Matrix
276,SUV,2008,Toyota,Highlander
277,SUV,2008,Toyota,FJ Cruiser
278,Sedan,2008,Toyota,Avalon
279,SUV,2008,Toyota,Sequoia
280,Sedan,2008,Toyota,Camry
281,SUV,2007,Toyota,4Runner
282,Pickup,2008,Toyota,Tacoma Regular Cab
283,SUV,2008,Toyota,Land Cruiser
284,Van/Minivan,2008,Toyota,Sienna
285,Sedan,2007,Toyota,Corolla
286,SUV,2007,Toyota,Highlander
