,PASSENGERS,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,YEAR,MONTH,Unnamed: 12
11790,4.0,6751.0,VJT,VistaJet Limited,12892,LAX,"Los Angeles, CA",13359,MLA,"Malta, Malta",2021,7,
11791,4.0,5901.0,VJT,VistaJet Limited,14771,SFO,"San Francisco, CA",15604,VKO,"Moscow, Russia",2021,7,
11792,4.0,5001.0,VJT,VistaJet Limited,12395,IST,"Istanbul, Turkey",15167,TEB,"Teterboro, NJ",2021,7,
11793,4.0,3457.0,VJT,VistaJet Limited,11618,EWR,"Newark, NJ",11628,FAB,"Farnborough, United Kingdom",2021,7,
11794,4.0,5075.0,VJT,VistaJet Limited,13303,MIA,"Miami, FL",13860,OLB,"Olbia, Italy",2021,7,
11795,4.0,5895.0,VJT,VistaJet Limited,10423,AUS,"Austin, TX",13604,NAP,"Naples, Italy",2021,7,
11796,4.0,6311.0,VJT,VistaJet Limited,13860,OLB,"Olbia, Italy",12892,LAX,"Los Angeles, CA",2021,7,
11797,4.0,5075.0,VJT,VistaJet Limited,13860,OLB,"Olbia, Italy",13303,MIA,"Miami, FL",2021,7,
11798,4.0,5668.0,VJT,VistaJet Limited,12900,LBG,"Paris, France",12892,LAX,"Los Angeles, CA",2021,7,
11799,4.0,3907.0,VJT,VistaJet Limited,10746,BRN,"Berne, Switzerland",15167,TEB,"Teterboro, NJ",2021,7,
11800,4.0,5681.0,VJT,VistaJet Limited,15167,TEB,"Teterboro, NJ",15258,TLV,"Tel Aviv, Israel",2021,7,
11801,4.0,3338.0,VJT,VistaJet Limited,15183,TFS,"Tenerife, Spain",15167,TEB,"Teterboro, NJ",2021,7,
11802,4.0,3190.0,VJT,VistaJet Limited,15183,TFS,"Tenerife, Spain",10540,BED,"Bedford, MA",2021,7,
11803,4.0,5124.0,VJT,VistaJet Limited,10432,AVN,"Avignon, France",10849,BZN,"Bozeman, MT",2021,7,
11804,4.0,5243.0,VJT,VistaJet Limited,10461,AYT,"Antalya, Turkey",12391,ISP,"Islip, NY",2021,7,
11805,4.0,3991.0,VJT,VistaJet Limited,15343,TSN,"Tianjin, China",10299,ANC,"Anchorage, AK",2021,7,
